restaurant,restaurant_address,food,food_origin
Sonic Drive-In,745 Dana River Suite 513,Pasta,switzerland
Applebee's,8830 Wise Forest Apt. 322,Curry,lebanon
Dunkin',480 Matthew Ville Suite 854,Pad Thai,czechia
Wendy's,898 David Squares,Goulash,mozambique
Texas Roadhouse,66456 Katherine Place,Salad,namibia
IHOP,198 Dana Junctions,Bratwurst,morocco
McDonald's,457 Bobby Lights Suite 545,Goulash,mozambique
Dunkin',597 Matthews Dam Apt. 675,Udon,mauritania
Wendy's,20611 Wheeler Pine,Pasta,switzerland
Shake Shack,199 Tamara Forks Suite 830,Barbecue Ribs,iraq
Taco Bell,293 Williams Underpass,Nasi Goreng,sudan
KFC,943 Williams Flat Apt. 054,Banoffee Pie,uruguay
Little Caesars,53104 Lambert Field Suite 907,Fettuccine Alfredo,aruba
Chick-fil-A,5113 Webb Springs,Meatballs,pakistan
Taco Bell,68341 Christy Village,Curry,burkina-faso
Buffalo Wild Wings,670 Vanessa Cape,Ratatouille,guam
Popeyes,845 Jennifer Underpass,Borscht,paraguay
Taco Bell,9466 Hoffman Divide Suite 684,Borscht,paraguay
IHOP,74004 Knight Manor,Kimchi,dominican-republic
Outback Steakhouse,1673 Townsend Turnpike,Bratwurst,philippines
Olive Garden,41292 Conway Cape,Meatballs,panama
IHOP,4859 Isaac Squares,Tempura,barbados
Olive Garden,861 Gibson Square Apt. 265,Gumbo,isle-of-man
Outback Steakhouse,34229 Earl Squares Apt. 712,Crepes,zambia
Ruby Tuesday,939 Smith Centers,Salad,namibia
Outback Steakhouse,9486 Nancy Keys,Fufu,macau
Applebee's,312 Kristy Glen,Pizza,dominican-republic
Arby's,0500 Riley Wells,Samosa,georgia
Arby's,66337 Julie Cape Apt. 093,Pizza,saint-vincent-and-the-grenadines
Wendy's,22777 Rush Key,Jambalaya,cayman-islands
McDonald's,598 Thomas Springs,Fried Chicken,bermuda
Chili's,6998 Colton Course Suite 685,Dolma,sri-lanka
Tim Hortons,25623 Scott Extensions,Pierogi,hong-kong
Cheesecake Factory,925 Ramirez Road,Moussaka,lesotho
Buffalo Wild Wings,30538 Carrie Pike Apt. 628,Arepas,saint-kitts-and-nevis
Domino's,8830 Wise Forest Apt. 322,Salad,jordan
Five Guys,2225 Gibson Islands Apt. 616,Omelette,curacao
Taco Bell,0769 Michael Springs,Pho,comoros
TGI Friday's,5333 Patrick Route,Biryani,niger
Burger King,039 Johnson Bypass Apt. 537,Cheesecake,china
TGI Friday's,000 Kane Expressway,Pierogi,united-kingdom
Buffalo Wild Wings,454 Darlene Port Apt. 418,Coleslaw,senegal
TGI Friday's,3871 Castaneda Pines Apt. 351,Udon,mauritania
Five Guys,32944 Carter River Apt. 361,Shepherd's Pie,isle-of-man
Applebee's,1254 Mason Forks Apt. 495,Goulash,antigua-and-barbuda
Chick-fil-A,87065 Gallegos Landing Apt. 450,Jollof Rice,new-zealand
Cheesecake Factory,8265 Fischer Tunnel,Tempura,seychelles
Texas Roadhouse,419 Davis Centers Suite 321,Miso Soup,china
Chick-fil-A,74829 Clarke Park,Falafel,burkina-faso
Chick-fil-A,362 Caitlin Corners Apt. 661,Biryani,virgin-islands
Five Guys,8897 Castaneda Way Apt. 829,Pho,montenegro
Applebee's,2483 Walker Road,Gumbo,isle-of-man
KFC,861 Gibson Square Apt. 265,Barbecue Ribs,central-african-republic
Wendy's,677 Carolyn Way,Crepes,philippines
Domino's,358 Dodson Passage,Falafel,burkina-faso
Tim Hortons,8877 Singleton Greens,Dolma,sri-lanka
Applebee's,54047 Eric Station Apt. 446,Biryani,niger
Chili's,87065 Gallegos Landing Apt. 450,Roti,papua-new-guinea
Cheesecake Factory,419 Davis Centers Suite 321,Churros,latvia
Ruby Tuesday,9339 Autumn Burg Suite 220,Tacos,eritrea
Buffalo Wild Wings,869 Jeremy Motorway,Pho,belgium
Buffalo Wild Wings,68341 Christy Village,Crepes,israel
Little Caesars,8446 Swanson Plaza Suite 553,Poke Bowl,china
Five Guys,920 Ashley Club,Ratatouille,syria
Chipotle,0976 Conway Route Apt. 897,Tamales,costa-rica
Wendy's,97711 Leblanc Plains Apt. 306,Pierogi,united-kingdom
Sonic Drive-In,616 Yvette Islands,Goulash,antigua-and-barbuda
Taco Bell,1870 Jennifer Village Suite 635,Risotto,bhutan
Applebee's,720 Wells Street,Plantains,iran
Taco Bell,74304 Kevin Trail,Roti,papua-new-guinea
Shake Shack,26939 Mathews Throughway Suite 744,Tamales,samoa
Chili's,98926 Baker Roads,Pozole,malaysia
Domino's,670 Vanessa Cape,Hummus,botswana
Arby's,47622 Lauren Way,Jollof Rice,maldives
Little Caesars,2225 Gibson Islands Apt. 616,Roti,papua-new-guinea
Subway,55401 Stanley Plaza Suite 740,Poke Bowl,china
Chipotle,74829 Clarke Park,Lamb Roast,turks-and-caicos-islands
Domino's,358 Dodson Passage,Miso Soup,china
Sonic Drive-In,616 Yvette Islands,Shawarma,nepal
Buffalo Wild Wings,8707 Doyle Drive Apt. 256,Kimchi,dominican-republic
Dunkin',8840 Grant Valley Suite 846,Biryani,virgin-islands
Arby's,970 Smith Wells Suite 905,Gnocchi,austria
Ruby Tuesday,939 Smith Centers,Kimchi,nigeria
Domino's,251 Barnett Parks,Lasagna,germany
Olive Garden,41292 Conway Cape,Pierogi,nicaragua
Panera Bread,447 Alyssa Radial Apt. 946,Tempura,barbados
Sonic Drive-In,745 Dana River Suite 513,Poke Bowl,afghanistan
Sonic Drive-In,61988 Tony Isle,Lamb Roast,burkina-faso
Applebee's,389 Michael Drive Suite 565,Curry,burkina-faso
Arby's,85583 Courtney Village Apt. 623,Macarons,equatorial-guinea
Panera Bread,2894 Kenneth Roads,Samosa,zimbabwe
Red Lobster,66057 Bradford Ramp,Omelette,cabo-verde
Arby's,66337 Julie Cape Apt. 093,Meatballs,pakistan
Red Lobster,278 Price Rest,Goulash,congo-democratic-republic-of-the
McDonald's,925 Ramirez Road,Haggis,sudan
Tim Hortons,5113 Webb Springs,Udon,malta
Arby's,47622 Lauren Way,French Fries,cabo-verde
Outback Steakhouse,1673 Townsend Turnpike,Fish and Chips,new-zealand
Starbucks,41292 Conway Cape,Bratwurst,rwanda
Cracker Barrel,5314 Mcdonald Throughway,Gnocchi,sao-tome-and-principe
Red Lobster,1870 Jennifer Village Suite 635,Omelette,cabo-verde
KFC,939 Smith Centers,Quiche,india
Sonic Drive-In,757 Valerie Shores,Sticky Rice,botswana
McDonald's,0500 Riley Wells,Biryani,niger
Burger King,039 Johnson Bypass Apt. 537,Fried Chicken,bermuda
McDonald's,5795 Danielle Ways,Pierogi,bosnia-and-herzegovina
Wendy's,007 Tiffany Haven Suite 378,Bratwurst,finland
Wendy's,007 Tiffany Haven Suite 378,Spring Rolls,cyprus
Panera Bread,30025 Cynthia Bypass Apt. 688,French Fries,lithuania
Little Caesars,53104 Lambert Field Suite 907,Bento Box,spain
KFC,300 Lloyd Causeway,Arepas,kazakhstan
Sonic Drive-In,61988 Tony Isle,Carrot Cake,egypt
Dunkin',24104 Melissa Village,Gumbo,mongolia
Ruby Tuesday,9339 Autumn Burg Suite 220,Salad,namibia
Starbucks,42875 Green Rapid,Meatballs,panama
Buffalo Wild Wings,30538 Carrie Pike Apt. 628,Quiche,croatia
Outback Steakhouse,34229 Earl Squares Apt. 712,Gelato,cayman-islands
Five Guys,920 Ashley Club,Churros,turkmenistan
Outback Steakhouse,491 Jennifer Parkway,Salad,mozambique
Dunkin',24104 Melissa Village,Risotto,nicaragua
Tim Hortons,25623 Scott Extensions,Banoffee Pie,uruguay
Chipotle,22777 Rush Key,Falafel,burkina-faso
Five Guys,5698 Joel Trail Apt. 253,Falafel,united-states
Five Guys,5698 Joel Trail Apt. 253,Lasagna,micronesia-federated-states-of
Texas Roadhouse,66456 Katherine Place,Cheesecake,kenya
Sonic Drive-In,5073 Scott Groves Suite 909,Salad,jordan
Sonic Drive-In,96285 Morrison Dam,Coleslaw,senegal
Outback Steakhouse,26939 Mathews Throughway Suite 744,Satay,guyana
Subway,3258 Chase Motorway Apt. 151,Baguette,brunei
Starbucks,42875 Green Rapid,Fried Chicken,new-caledonia
Chick-fil-A,8877 Singleton Greens,Falafel,panama
McDonald's,457 Bobby Lights Suite 545,Samosa,trinidad-and-tobago
Subway,2450 Lozano Spring,Quiche,solomon-islands
Applebee's,5698 Joel Trail Apt. 253,Ratatouille,kuwait
Subway,2450 Lozano Spring,Miso Soup,iran
Wendy's,22777 Rush Key,Pizza,iran
Little Caesars,73551 Lopez Loaf,Ceviche,seychelles
Panera Bread,2894 Kenneth Roads,Ratatouille,guam
Outback Steakhouse,26939 Mathews Throughway Suite 744,Meatballs,bermuda
Shake Shack,517 Gonzalez Orchard,Tonkatsu,panama
Arby's,970 Smith Wells Suite 905,Quiche,croatia
Wendy's,0768 Hector Trace,Coleslaw,uruguay
Applebee's,312 Kristy Glen,Jollof Rice,jersey
Taco Bell,288 Benjamin Inlet,Cassoulet,kenya
KFC,47568 Megan Village Apt. 490,Risotto,romania
Starbucks,42875 Green Rapid,Spring Rolls,venezuela
Shake Shack,20131 Bradley Ways,Banoffee Pie,portugal
Outback Steakhouse,9486 Nancy Keys,Pho,portugal
Little Caesars,73551 Lopez Loaf,Jollof Rice,new-zealand
Little Caesars,2225 Gibson Islands Apt. 616,Harira,puerto-rico
Cracker Barrel,6038 Luis Parkways,Tonkatsu,serbia
TGI Friday's,31396 Lauren Lodge,Fish and Chips,poland
Cheesecake Factory,419 Davis Centers Suite 321,Bratwurst,finland
Sonic Drive-In,4859 Isaac Squares,Pasta,switzerland
KFC,8984 Moore Junctions Apt. 841,Baguette,armenia
McDonald's,19362 Payne Causeway Suite 534,Kimchi,nigeria
Tim Hortons,25623 Scott Extensions,Jollof Rice,new-zealand
Red Lobster,18825 Powers Trail,Pho,portugal
Cheesecake Factory,226 Patel Ridge Suite 602,Barbecue Ribs,iraq
Chili's,849 Barrera Villages,Bratwurst,slovenia
Cracker Barrel,991 Deborah Crescent,Fried Chicken,new-caledonia
Arby's,745 Dana River Suite 513,Ratatouille,chad
Panera Bread,442 Reynolds Expressway,Gelato,kazakhstan
Chick-fil-A,5113 Webb Springs,Sticky Rice,syria
Cheesecake Factory,248 Aaron Wall Suite 624,Moussaka,greenland
IHOP,764 Moyer Groves,Gnocchi,sao-tome-and-principe
Buffalo Wild Wings,454 Darlene Port Apt. 418,Udon,nepal
Chili's,447 Alyssa Radial Apt. 946,Steak,russia
McDonald's,006 Scott Mountain Suite 766,Jambalaya,yemen
Chipotle,2265 Christopher Crescent Suite 466,Harira,poland
Pizza Hut,0324 Claudia Tunnel Apt. 292,Crepes,sierra-leone
Dunkin',24104 Melissa Village,Kimchi,nigeria
Red Lobster,53104 Lambert Field Suite 907,Tortilla,ecuador
Chili's,849 Barrera Villages,Salad,malaysia
Taco Bell,74304 Kevin Trail,Fried Chicken,bermuda
Little Caesars,664 Austin Extension,Barbecue Ribs,iraq
Chick-fil-A,553 Anderson Ridge Apt. 584,Salad,mozambique
Subway,55401 Stanley Plaza Suite 740,Tamales,costa-rica
Red Lobster,9968 Estes Inlet Suite 797,Bratwurst,french-polynesia
Dunkin',24104 Melissa Village,Moussaka,lesotho
Subway,66337 Julie Cape Apt. 093,Pierogi,curacao
TGI Friday's,3871 Castaneda Pines Apt. 351,Harira,poland
Panera Bread,442 Reynolds Expressway,Steamed Buns,djibouti
Ruby Tuesday,190 Courtney Brook,Moussaka,aruba
Arby's,970 Smith Wells Suite 905,Fried Chicken,bermuda
Panera Bread,08186 Briggs Path Apt. 893,Borscht,mali
Popeyes,45590 Brown Prairie,Goulash,spain
Tim Hortons,00983 Pamela Springs,Bao,bahamas-the
Buffalo Wild Wings,8707 Doyle Drive Apt. 256,Arepas,djibouti
Arby's,0500 Riley Wells,Satay,bolivia
Taco Bell,288 Benjamin Inlet,Poke Bowl,china
Arby's,0500 Riley Wells,Fettuccine Alfredo,aruba
Starbucks,78936 Lopez Freeway Apt. 599,Arepas,cote-divoire
KFC,300 Lloyd Causeway,Salad,botswana
McDonald's,0500 Riley Wells,Arepas,kenya
IHOP,6402 Reid Ford,Bento Box,mexico
Shake Shack,26939 Mathews Throughway Suite 744,Curry,united-arab-emirates
McDonald's,0500 Riley Wells,Clam Chowder,burundi
Texas Roadhouse,419 Davis Centers Suite 321,Gnocchi,austria
Subway,85583 Courtney Village Apt. 623,Pizza,saint-vincent-and-the-grenadines
Shake Shack,517 Gonzalez Orchard,Samosa,zimbabwe
IHOP,764 Moyer Groves,Pasta,northern-mariana-islands
Domino's,251 Barnett Parks,Fish and Chips,saint-lucia
Chick-fil-A,87065 Gallegos Landing Apt. 450,Dolma,sri-lanka
Arby's,590 Bernard Creek Apt. 744,Jambalaya,yemen
Olive Garden,41292 Conway Cape,Steamed Buns,australia
McDonald's,598 Thomas Springs,Pierogi,united-kingdom
KFC,861 Gibson Square Apt. 265,Kimchi,dominican-republic
Tim Hortons,5113 Webb Springs,Goulash,congo-democratic-republic-of-the
