id,region,datecollected,youth,youngadult,middleaged,senior,incomeLevel
251267,Brampton,2021-05-17,0.33,0.23,0.25,0.19,44574
640489,Mississauga,2021-04-21,0.09,0.19,0.43,0.29,30388
183876,Toronto,2021-10-15,0.34,0.37,0.2,0.09,78909
163582,Mississauga,2020-08-30,0.36,0.09,0.43,0.12,98364
866726,Kitchener,2021-02-02,0.04,0.33,0.16,0.47,33938
791545,Waterloo,2022-01-06,0.08,0.06,0.2,0.66,106734
672843,Kitchener,2020-04-02,0.03,0.19,0,0.78,39257
950574,Brampton,2020-03-08,0.39,0.09,0.16,0.36,91061
43905,London,2022-08-12,0.03,0.38,0.21,0.38,102505
688978,Toronto,2022-09-03,0.27,0.21,0.42,0.1,84527
906513,Kitchener,2021-08-23,0.09,0.01,0.36,0.54,107577
838891,Kitchener,2020-01-23,0.24,0.33,0.19,0.24,70369
228476,Toronto,2022-04-24,0.38,0.37,0.12,0.13,119650
79491,Stratford,2020-11-29,0.12,0.31,0.53,0.04,73306
761053,Toronto,2022-07-01,0.21,0.37,0.28,0.14,89023
61312,Guelph,2021-11-24,0.2,0.17,0.2,0.43,105823
23409,Waterloo,2021-06-19,0.25,0.26,0.09,0.4,54448
121591,Mississauga,2022-04-13,0.38,0.17,0.19,0.26,95588
909135,Kitchener,2021-06-13,0.33,0.06,0.18,0.43,104472
480472,Toronto,2022-05-30,0.33,0.33,0.28,0.06,86973
128726,Brampton,2022-09-07,0.2,0.11,0.13,0.56,84968
432534,Kitchener,2020-07-24,0.02,0.21,0.23,0.54,90308
959359,Mississauga,2021-02-23,0.08,0.17,0,0.75,34023
88666,Brampton,2021-01-01,0.33,0.08,0.29,0.3,NULL
742922,Brampton,2022-04-27,0.07,0.23,0.35,0.35,49832
113706,Oakville,2021-12-11,0.39,0.37,0.17,0.07,42773
253667,Oakville,2021-03-31,0.11,0.24,0.58,0.07,63836
383415,Mississauga,2021-07-11,0.18,0.18,0.59,0.05,61512
771719,Waterloo,2022-03-17,0.18,0.21,0.59,0.02,69266
596065,Waterloo,2020-04-21,0.3,0,0.47,0.23,64738
680782,Kitchener,2022-04-30,0.01,0.17,0.12,0.7,106869
875563,Kitchener,2020-06-19,0.4,0.08,0.27,0.25,75128
674268,Guelph,2021-02-19,0.06,0.17,0.12,0.65,102651
769257,London,2021-10-25,0.28,0.08,0.38,0.26,113311
328664,London,2021-01-27,0.19,0.29,0.15,0.37,64457
55811,Brampton,2020-05-30,0.28,0.16,0.26,0.3,53807
131799,Waterloo,2020-03-05,0.19,0.33,0.18,0.3,63389
271801,Brampton,2022-09-12,0.11,0.1,0.47,0.32,68375
545267,Oakville,2022-06-08,0.26,0.05,0.29,0.4,90791
788692,Toronto,2020-05-20,0.38,0.12,0.01,0.49,108317
770741,Toronto,2022-06-08,0.13,0.15,0.23,0.49,92651
308020,Stratford,2021-06-11,0.39,0.03,0.5,0.08,83568
181132,Brampton,2021-05-05,0.28,0.11,0.11,0.5,34440
69325,Hamilton,2020-12-28,0.26,0.34,0.35,0.05,93399
200612,Brampton,2022-05-17,0.34,0.21,0.13,0.32,37734
158215,Hamilton,2020-09-14,0.04,0.08,0.56,0.32,86517
841721,Toronto,2022-08-05,0.13,0.01,0.52,0.34,119209
497012,Stratford,2020-10-29,0.05,0.15,0.12,0.68,88593
648333,Brampton,2022-03-19,0.04,0.38,0.25,0.33,100616
595884,Waterloo,2021-10-15,0.33,0.13,0.03,0.51,79072
74975,Hamilton,2022-06-14,0.03,0.27,0.11,0.59,88481
501551,Guelph,2021-06-10,0.09,0.19,0.02,0.7,75732
446585,Oakville,2020-05-31,0.39,0.16,0.21,0.24,95362
1726,Mississauga,2020-05-02,0.2,0.11,0.22,0.47,61190
967059,Guelph,2020-01-28,0.26,0.39,0.15,0.2,67369
83387,London,2022-02-06,0.15,0.37,0.02,0.46,55069
13848,Guelph,2020-09-02,0.14,0,0.14,0.72,37876
1518,Hamilton,2020-01-08,0.02,0.21,0.57,0.2,42753
894172,Guelph,2021-03-19,0.04,0.23,0.51,0.22,112172
483054,Hamilton,2021-09-09,0.16,0.25,0.15,0.44,79118
64210,London,2022-01-16,0.25,0.22,0.06,0.47,93596
90352,Waterloo,2022-07-30,0.1,0.3,0.11,0.49,81563
569625,Hamilton,2021-06-15,0.16,0.21,0.49,0.14,83329
442612,Kitchener,2020-03-15,0.39,0.15,0.25,0.21,69723
186132,Guelph,2020-05-23,0.03,0.14,0.58,0.25,97919
698572,Brampton,2022-09-02,0.33,0.18,0.12,0.37,65623
970234,Hamilton,2020-10-27,0.04,0.34,0.17,0.45,82493
395481,Stratford,2022-04-30,0.16,0.06,0.31,0.47,97688
136034,Guelph,2022-07-01,0.36,0.29,0.24,0.11,119393
835949,Oakville,2020-03-31,0.39,0.12,0.38,0.11,102986
607550,Toronto,2022-04-11,0.31,0.31,0.05,0.33,69968
294068,Mississauga,2021-11-17,0.15,0.26,0.52,0.07,95236
243324,Brampton,2020-01-21,0.26,0.1,0.38,0.26,97849
796068,Oakville,2020-04-25,0.4,0.22,0.34,0.04,70992
745351,Brampton,2022-07-20,0.39,0.09,0.06,0.46,107019
830771,Waterloo,2020-10-12,0.17,0.05,0.11,0.67,90418
387363,Oakville,2022-07-04,0.35,0.36,0.01,0.28,50792
906937,Stratford,2022-01-27,0.39,0.35,0.23,0.03,113945
588716,Oakville,2022-09-11,0.14,0.35,0.49,0.02,48711
976335,Waterloo,2020-03-03,0.19,0.37,0.4,0.04,82881
963084,Hamilton,2020-09-11,0.18,0.25,0.34,0.23,104872
557947,Toronto,2021-01-05,0.31,0.33,0.27,0.09,99780
84549,London,2021-11-02,0.1,0.16,0.46,0.28,92292
213191,Stratford,2022-02-02,0.1,0.24,0.59,0.07,86260
65092,Hamilton,2020-06-12,0.02,0.21,0.41,0.36,116200
750513,Waterloo,2020-03-10,0.23,0.19,0.44,0.14,111773
507854,Oakville,2021-06-16,0.05,0.18,0.09,0.68,78119
609405,Hamilton,2022-01-10,0.1,0.11,0.44,0.35,106524
865273,Kitchener,2022-09-18,0.36,0.04,0.34,0.26,37839
400006,Oakville,2020-02-18,0.17,0.35,0.05,0.43,55706
879080,Toronto,2020-12-21,0.32,0.25,0.04,0.39,77154
914571,Mississauga,2021-11-30,0.13,0.03,0.16,0.68,117724
221860,London,2020-01-22,0.21,0.23,0.29,0.27,33876
402454,Mississauga,2022-02-10,0.09,0.27,0.37,0.27,65420
73301,Waterloo,2022-07-01,0.26,0.01,0.45,0.28,64586
978094,Brampton,2020-01-13,0.26,0.12,0.39,0.23,80048
550316,Stratford,2020-02-03,0.3,0.14,0.19,0.37,86949
81123,Mississauga,2021-03-23,0.02,0.05,0.36,0.57,94650
213541,Hamilton,2020-11-10,0.02,0.33,0.05,0.6,62054
561173,London,2020-05-03,0.17,0.09,0.36,0.38,86929
571521,Guelph,2020-10-02,0.16,0.06,0.15,0.63,77083
76016,London,2020-03-08,0.15,0.37,0.05,0.43,91260
496248,Hamilton,2021-09-17,0.11,0.07,0.35,0.47,114209
718568,Waterloo,2020-09-15,0.32,0.02,0.1,0.56,96906
935311,Kitchener,2020-07-23,0.36,0.12,0.24,0.28,118021
684855,Hamilton,2021-12-11,0.06,0.3,0.46,0.18,100547
276792,Brampton,2020-04-13,0.09,0.35,0.04,0.52,31237
994996,Oakville,2020-12-28,0.15,0.14,0.26,0.45,94970
875338,Toronto,2022-07-31,0.03,0.29,0.4,0.28,65640
813012,London,2022-04-06,0.28,0.08,0.26,0.38,107336
273849,Stratford,2021-10-15,0.14,0.27,0.56,0.03,41279
314642,Oakville,2020-01-09,0.18,0.29,0.48,0.05,94610
254995,Kitchener,2022-03-12,0.13,0.02,0.06,0.79,75522
507247,Kitchener,2021-08-24,0.15,0.02,0.21,0.62,57203
14787,Stratford,2022-03-21,0.23,0.32,0.42,0.03,47378
807322,Brampton,2022-01-14,0.06,0.13,0.31,0.5,105797
180996,London,2020-06-13,0.31,0.14,0.18,0.37,114371
42660,Kitchener,2020-02-08,0.16,0.18,0.2,0.46,54822
890391,Hamilton,2020-04-06,0.28,0.39,0.19,0.14,78049
751990,Brampton,2022-02-13,0.4,0.17,0.02,0.41,42082
953684,Waterloo,2021-01-05,0.21,0.05,0.53,0.21,83470
972156,Oakville,2020-02-08,0.13,0.16,0.04,0.67,71831
973873,Mississauga,2021-01-07,0.34,0.21,0.3,0.15,51914
305704,Waterloo,2020-03-09,0.35,0.04,0.09,0.52,34619
990430,Kitchener,2021-10-24,0.37,0.14,0.35,0.14,87592
69166,Brampton,2020-03-05,0.05,0.27,0.34,0.34,35187
42049,Brampton,2020-12-25,0.09,0.34,0.4,0.17,81935
972173,Toronto,2022-03-06,0.33,0.01,0.22,0.44,68895
550959,Mississauga,2022-03-02,0.01,0.36,0.19,0.44,92375
337884,Kitchener,2022-01-03,0.02,0.04,0.08,0.86,87399
583371,Oakville,2022-01-15,0.1,0.12,0.53,0.25,56447
366651,Stratford,2020-02-04,0.02,0.1,0.05,0.83,82876
405954,Toronto,2020-05-06,0.17,0.31,0.23,0.29,89405
960274,Stratford,2022-05-19,0.16,0.3,0.44,0.1,68398
733578,Guelph,2022-02-05,0.14,0.32,0.21,0.33,79876
492151,London,2020-09-22,0.24,0.21,0.36,0.19,112155
199498,Waterloo,2021-09-26,0.01,0.07,0.12,0.8,51282
179285,Guelph,2020-11-15,0.29,0.24,0.39,0.08,119657
281298,Toronto,2022-02-02,0.23,0.28,0.35,0.14,108963
437439,Oakville,2021-08-24,0.06,0.34,0.46,0.14,118803
641744,London,2022-08-18,0.39,0.31,0.2,0.1,111874
393454,Toronto,2020-06-13,0.02,0.03,0.38,0.57,116792
55268,Oakville,2022-05-24,0.23,0.1,0.26,0.41,96297
658110,Mississauga,2022-06-13,0.29,0.27,0.37,0.07,40042
855012,Hamilton,2020-08-14,0.35,0.4,0.18,0.07,67913
704282,Kitchener,2021-06-12,0.06,0.28,0.56,0.1,110333
963453,Waterloo,2020-09-08,0.4,0.11,0.05,0.44,56359
520845,Waterloo,2021-06-26,0.27,0.33,0.28,0.12,34893
799401,Stratford,2021-03-13,0.15,0.02,0.01,0.82,48336
804024,Brampton,2020-09-05,0.3,0.36,0.31,0.03,39631
749003,Oakville,2020-11-30,0.32,0.39,0.28,0.01,54597
28818,Hamilton,2022-08-12,0.08,0.22,0.07,0.63,41838
227421,Waterloo,2020-10-19,0.37,0.08,0.42,0.13,84548
339201,Brampton,2021-07-15,0.32,0.33,0.05,0.3,105376
105305,Oakville,2022-03-27,0.03,0.31,0.16,0.5,93000
858942,Stratford,2020-08-23,0.24,0.33,0.1,0.33,82529
192889,Guelph,2020-03-28,0.33,0.07,0.46,0.14,107353
781054,Brampton,2020-02-02,0.4,0.12,0.25,0.23,97863
544042,Mississauga,2020-11-22,0.38,0.13,0.41,0.08,119483
567983,Oakville,2020-12-26,0.13,0.31,0.25,0.31,63920
838479,Waterloo,2021-07-26,0.33,0.04,0.09,0.54,33603
36480,Hamilton,2021-01-10,0.16,0.03,0.22,0.59,68468
367491,Oakville,2021-01-08,0.32,0.19,0.16,0.33,100632
951623,Hamilton,2022-02-26,0.27,0.4,0.18,0.15,71472
414238,Guelph,2022-05-30,0.17,0.38,0.24,0.21,32680
839834,London,2022-07-29,0.09,0.19,0.11,0.61,37318
780045,Waterloo,2020-12-12,0.27,0.07,0.26,0.4,99646
289761,Stratford,2021-06-29,0.38,0.02,0.53,0.07,105553
329168,London,2021-07-18,0.11,0.12,0.19,0.58,114861
691884,Kitchener,2020-05-19,0.31,0.03,0.44,0.22,95287
808588,Kitchener,2021-11-13,0.02,0.08,0.54,0.36,55422
476047,London,2022-02-15,0.18,0.37,0.43,0.02,58728
268833,London,2022-01-05,0.38,0.34,0.05,0.23,66377
282359,Oakville,2022-07-27,0.22,0.06,0.17,0.55,83179
449885,Oakville,2021-05-11,0.34,0.28,0.19,0.19,79159
938659,Guelph,2022-01-16,0.08,0.29,0.15,0.48,86627
515915,Waterloo,2021-08-08,0.21,0.02,0.35,0.42,34710
243182,Guelph,2020-08-30,0.11,0.27,0.09,0.53,65271
604103,Guelph,2021-02-18,0.36,0.02,0.11,0.51,109739
734949,Waterloo,2021-05-25,0.04,0.36,0.29,0.31,57692
508771,Kitchener,2022-01-07,0.38,0.33,0.24,0.05,62194
395273,London,2022-05-03,0.31,0.2,0.42,0.07,35450
379100,London,2021-10-30,0.12,0.13,0.13,0.62,67011
57189,Hamilton,2021-05-14,0.28,0.38,0.05,0.29,98285
244588,Brampton,2020-01-15,0.06,0.15,0.23,0.56,71389
969319,Waterloo,2021-02-13,0.36,0.02,0.26,0.36,118143
486220,Hamilton,2021-10-20,0.13,0.19,0.43,0.25,75708
381688,Kitchener,2020-03-22,0.33,0.11,0.4,0.16,55353
168563,Stratford,2021-07-14,0.02,0.36,0.08,0.54,52629
246341,Toronto,2020-07-16,0.21,0.12,0.57,0.1,59729
636684,Toronto,2020-11-14,0.29,0.35,0.06,0.3,38817
114761,Brampton,2020-04-20,0.02,0.07,0.57,0.34,73591
668740,Stratford,2020-05-28,0.05,0.16,0.55,0.24,49758
905382,Stratford,2021-06-30,0.12,0.31,0.29,0.28,58528
216918,Oakville,2021-04-11,0.09,0.38,0.05,0.48,113627
573821,Stratford,2021-05-03,0.01,0.39,0.04,0.56,45613
433927,Guelph,2022-01-23,0.2,0.2,0.26,0.34,118643
138324,Mississauga,2020-02-16,0.26,0.22,0.51,0.01,67760
157201,Mississauga,2022-02-21,0.2,0.06,0.55,0.19,62575
933794,Guelph,2022-07-26,0.27,0.04,0.28,0.41,102719
887979,Kitchener,2022-03-09,0.22,0.13,0.03,0.62,83007
20831,Toronto,2021-10-02,0.24,0.2,0.14,0.42,74652
34026,Toronto,2021-06-05,0.25,0.18,0.08,0.49,80090
927274,Guelph,2022-09-26,0.09,0.21,0.12,0.58,102219
796164,Toronto,2020-01-28,0.12,0.39,0.44,0.05,85226
43931,Guelph,2021-03-12,0.3,0.2,0.37,0.13,90978
482460,Hamilton,2022-04-29,0.23,0.21,0.42,0.14,69679
852327,Brampton,2021-07-25,0.06,0.09,0.26,0.59,104269
292625,Hamilton,2022-07-03,0.04,0.02,0.53,0.41,36469
339795,Brampton,2021-07-20,0.32,0.32,0.1,0.26,111837
638902,Hamilton,2020-02-27,0.38,0.21,0.22,0.19,60284
911896,Kitchener,2020-08-20,0.15,0.35,0,0.5,117338
490101,Kitchener,2020-02-19,0.23,0,0.3,0.47,98020
953894,Oakville,2021-08-31,0.28,0.12,0.05,0.55,71291
972288,Kitchener,2021-04-06,0.35,0.01,0.13,0.51,104368
853788,Toronto,2020-07-17,0.33,0.14,0.3,0.23,48856
138213,Toronto,2020-12-28,0.38,0.06,0.21,0.35,54567
369591,Toronto,2022-01-01,0.02,0.18,0.09,0.71,44809
677981,London,2021-02-24,0.04,0.07,0.54,0.35,59828
345886,Stratford,2022-09-11,0.14,0.29,0.46,0.11,35304
368896,Kitchener,2022-05-07,0.35,0.16,0.43,0.06,62288
853422,Oakville,2022-07-31,0.07,0.27,0.14,0.52,91285
307815,Kitchener,2022-07-30,0.01,0.2,0.37,0.42,100035
952258,Toronto,2020-01-20,0.16,0.38,0.31,0.15,87069
36943,Kitchener,2022-06-17,0.21,0.01,0.07,0.71,70421
481408,Toronto,2020-03-30,0.12,0.02,0.27,0.59,83297
143356,Kitchener,2020-04-27,0.3,0.16,0.12,0.42,32437
800947,Kitchener,2022-06-06,0.23,0.29,0.11,0.37,113532
397992,Brampton,2022-03-27,0.36,0.39,0.14,0.11,40805
900344,Toronto,2020-09-29,0.24,0.38,0.05,0.33,64110
437869,Kitchener,2021-10-19,0.05,0.31,0.22,0.42,88296
955887,Hamilton,2020-07-18,0.23,0.12,0.03,0.62,101850
307316,Brampton,2020-11-03,0.28,0.1,0.12,0.5,58423
279836,Kitchener,2020-09-01,0.37,0.05,0.39,0.19,70024
528770,Guelph,2021-11-01,0.36,0.19,0.19,0.26,37143
928326,Hamilton,2022-05-06,0.27,0.19,0.13,0.41,61887
666173,London,2020-08-26,0.32,0,0.35,0.33,109735
178807,London,2022-08-13,0.24,0.2,0.48,0.08,107766
620125,Waterloo,2021-11-14,0.15,0.04,0.37,0.44,109440
392915,Toronto,2021-01-31,0.23,0.05,0.46,0.26,86176
990,Brampton,2021-10-10,0.23,0.39,0,0.38,68625
610857,Brampton,2020-11-13,0.07,0.1,0.46,0.37,119735
452003,Waterloo,2020-02-18,0.17,0.33,0.49,0.01,58178
922804,Stratford,2022-06-13,0.07,0.4,0.02,0.51,60336
816907,Stratford,2020-09-11,0.03,0.37,0.26,0.34,86751
802075,Guelph,2020-11-30,0.19,0.34,0.28,0.19,75679
203882,Waterloo,2021-03-05,0.06,0.06,0.3,0.58,94491
268401,Kitchener,2021-12-23,0.01,0.21,0.27,0.51,32115
629126,Stratford,2020-01-10,0.04,0.23,0.29,0.44,57687
184685,Oakville,2020-02-29,0.25,0.01,0.26,0.48,30088
677966,Mississauga,2021-10-01,0.4,0,0.37,0.23,74367
616725,Oakville,2021-12-10,0.08,0.09,0.52,0.31,33210
486784,Brampton,2020-06-25,0.07,0.39,0.06,0.48,116240
268520,Stratford,2021-09-19,0.34,0.26,0.36,0.04,104409
366151,London,2020-03-10,0.33,0.25,0.21,0.21,64207
172964,Toronto,2020-04-05,0.08,0.38,0.01,0.53,93164
754625,Oakville,2020-02-16,0.17,0.1,0.37,0.36,69744
673096,Brampton,2020-03-28,0.19,0.06,0.57,0.18,32548
537459,Stratford,2020-12-01,0.16,0.25,0.25,0.34,93045
974172,Guelph,2021-01-29,0.21,0.09,0.2,0.5,42617
51808,Hamilton,2021-03-14,0.08,0.31,0.01,0.6,108643
385295,London,2020-01-29,0.34,0.3,0.27,0.09,30513
291079,Hamilton,2020-09-05,0.08,0.11,0.21,0.6,51731
736077,Stratford,2020-06-23,0.21,0.27,0.19,0.33,83341
634566,Brampton,2021-04-06,0.13,0.04,0.47,0.36,95476
795002,Mississauga,2021-07-10,0.39,0.05,0.22,0.34,60059
164538,Waterloo,2021-08-25,0.39,0.05,0.05,0.51,117833
975291,Mississauga,2020-06-16,0.32,0.16,0.37,0.15,54525
226439,Kitchener,2020-11-02,0.37,0.1,0.21,0.32,82902
594809,Guelph,2020-02-16,0.03,0.38,0.01,0.58,43435
327384,Guelph,2020-05-06,0.06,0.27,0.03,0.64,110481
683354,Hamilton,2022-05-31,0.21,0.25,0,0.54,68797
131527,Hamilton,2021-12-07,0.26,0.25,0.2,0.29,86327
357888,Toronto,2021-09-02,0.35,0.13,0.01,0.51,81786
975652,Kitchener,2021-09-09,0.28,0.16,0.26,0.3,63123
94834,Kitchener,2020-01-05,0.31,0.06,0.42,0.21,119954
936902,Brampton,2022-03-07,0.33,0.39,0.24,0.04,81784
381837,Hamilton,2022-02-24,0.22,0.06,0.52,0.2,97574
882027,Guelph,2022-01-11,0.24,0.25,0.02,0.49,60957
204529,Mississauga,2021-08-25,0.16,0.25,0.3,0.29,57043
638233,Guelph,2022-09-20,0.27,0.33,0.17,0.23,48725
898145,Stratford,2022-02-23,0.16,0.09,0.52,0.23,81196
520057,Brampton,2021-12-06,0.37,0.24,0.01,0.38,41340
488502,Waterloo,2021-01-22,0.08,0.15,0.06,0.71,37658
200018,Stratford,2020-10-10,0.35,0.09,0.34,0.22,79068
964578,Brampton,2020-06-17,0.32,0.35,0.12,0.21,114479
321561,Hamilton,2020-03-27,0.35,0.32,0.08,0.25,54902
334530,Brampton,2022-08-05,0.11,0.19,0.27,0.43,119590
659157,Hamilton,2022-01-12,0.2,0.39,0.19,0.22,78506
800456,Toronto,2020-08-14,0.37,0.02,0.24,0.37,105449
188434,Toronto,2020-09-08,0.16,0.14,0.51,0.19,39669
903598,Toronto,2020-08-27,0.27,0.1,0.24,0.39,34395
815328,Stratford,2022-09-03,0.22,0.1,0.11,0.57,107157
310754,Kitchener,2021-07-15,0.21,0.29,0.09,0.41,65392
82794,Oakville,2021-01-20,0.1,0,0.05,0.85,53338
316870,Kitchener,2022-08-05,0.07,0.38,0.01,0.54,113833
965402,Kitchener,2020-04-15,0.29,0.16,0.02,0.53,40781
225607,Toronto,2020-03-25,0.07,0.24,0.13,0.56,89694
875230,Brampton,2022-05-16,0.3,0.34,0.28,0.08,63466
599699,Toronto,2020-11-02,0.38,0.23,0.18,0.21,100960
724935,Waterloo,2022-03-11,0.37,0.07,0.12,0.44,64553
255291,London,2020-06-09,0.21,0.33,0.46,0,50050
151472,Stratford,2021-08-13,0.19,0.25,0.21,0.35,93746
58686,Stratford,2020-12-14,0.19,0.12,0.25,0.44,32702
979267,Kitchener,2022-02-23,0.14,0.18,0.43,0.25,117701
953680,Brampton,2021-01-05,0.16,0.12,0.29,0.43,118749
265302,Stratford,2021-12-02,0.11,0.09,0.22,0.58,43166
18522,Brampton,2020-02-05,0.12,0.34,0.02,0.52,42685
144266,Waterloo,2021-11-23,0.12,0.13,0.46,0.29,100206
641412,Oakville,2021-02-05,0.14,0.25,0.46,0.15,92342
19644,London,2021-10-05,0.12,0.27,0.09,0.52,78908
75341,Brampton,2020-12-01,0.18,0.06,0.59,0.17,59686
318482,London,2022-01-17,0.39,0.21,0.02,0.38,65140
777008,Mississauga,2022-06-11,0.33,0.12,0.44,0.11,48138
