service_style,restaurant_name,restaurant_address
Food Truck,TGI Friday's,3871 Castaneda Pines Apt. 351
Food Court,Five Guys,32944 Carter River Apt. 361
Diner,Applebee's,1254 Mason Forks Apt. 495
Gastropub,Chick-fil-A,87065 Gallegos Landing Apt. 450
Takeout,Cheesecake Factory,8265 Fischer Tunnel
Fast Food,Texas Roadhouse,419 Davis Centers Suite 321
Grill,Chick-fil-A,74829 Clarke Park
Food Court,Chick-fil-A,362 Caitlin Corners Apt. 661
Steakhouse,Five Guys,8897 Castaneda Way Apt. 829
Grill,Applebee's,2483 Walker Road
Steakhouse,KFC,861 Gibson Square Apt. 265
Pizzeria,Wendy's,677 Carolyn Way
Barbecue,Domino's,358 Dodson Passage
Diner,Tim Hortons,8877 Singleton Greens
Barbecue,Applebee's,54047 Eric Station Apt. 446
Pop-up,Chili's,87065 Gallegos Landing Apt. 450
Pop-up,Cheesecake Factory,419 Davis Centers Suite 321
Fast Food,Ruby Tuesday,9339 Autumn Burg Suite 220
Diner,Buffalo Wild Wings,869 Jeremy Motorway
Food Truck,Buffalo Wild Wings,68341 Christy Village
Ice Cream Parlor,Little Caesars,8446 Swanson Plaza Suite 553
