franchise_Name,franchise,franchise_address
Chick-fil-A,True,87065 Gallegos Landing Apt. 450
Cheesecake Factory,True,8265 Fischer Tunnel
Texas Roadhouse,True,419 Davis Centers Suite 321
Chick-fil-A,False,74829 Clarke Park
Chick-fil-A,True,362 Caitlin Corners Apt. 661
Five Guys,True,8897 Castaneda Way Apt. 829
Applebee's,True,2483 Walker Road
KFC,True,861 Gibson Square Apt. 265
Wendy's,True,677 Carolyn Way
Domino's,True,358 Dodson Passage
Tim Hortons,True,8877 Singleton Greens
Applebee's,True,54047 Eric Station Apt. 446
Chili's,True,87065 Gallegos Landing Apt. 450
Cheesecake Factory,True,419 Davis Centers Suite 321
Ruby Tuesday,False,9339 Autumn Burg Suite 220
Buffalo Wild Wings,True,869 Jeremy Motorway
Buffalo Wild Wings,True,68341 Christy Village
Little Caesars,True,8446 Swanson Plaza Suite 553
